Platform,Month,Trend,Trend Type,Music,Video Style,Theme,Part of Song,Video length in S,Music Genre
Instagram Reels,2022/06,DJ Wait A Minute,"Montage, Vlog",DJ Wait A Minute - DJ Exe (2022),Photo/Video Compilation,Lifestyle,Prelude,29,House
Instagram Reels,2022/06,Guud Girls,"Montage, Vlog",Guud Girls - Breaking Beattz (2021),Photo/Video Compilation,Lifestyle,Prelude,29,House
Instagram Reels,2022/06,Running Up That Hill,"Cosplay, Montage",Running Up That Hill (A Deal with God) - Kate Bush (1985),"Selfie Video, Photo/Video Compilation",Lifestyle,"Prelude, Chorus",29,Pop
Instagram Reels,2022/06,Gogo Dance,"Vlog, Act Out/Dance",Gogo Dance - El Alfa (2022),Selfie Video,Lifestyle,Beginning,29,Latin Urbano
Instagram Reels,2022/06,Zedsly,Montage (Template),The Way I Are - Timbaland (2007),Photo/Video Compilation,Lifestyle,Instrumental,8,Dance/Electronic
Instagram Reels,2022/06,Still Don't Know My Name (Remix),Montage,Still Don't Know My Name (Remix) - Kimotion (2022),Photo/Video Compilation,Lifestyle,Mashup,29,Dance/Electronic
Instagram Reels,2022/06,Manifest,"Montage (Template), Vlog",Manifest Remix - Tiffany Laibhen-Spencer (2022),Photo/Video Compilation,Lifestyle,Mashup,29,Dance/Electronic
Instagram Reels,2022/06,Fur,"Montage, Vlog",Fur - Endor (Fur Elise Remix) (2020),Photo/Video Compilation,Lifestyle,Prelude,29,Dance/Electronic
Instagram Reels,2022/06,BREAK MY SOUL,Montage,BREAK MY SOUL - Beyoncé (2022),Photo/Video Compilation,Lifestyle,"Pre-Chorus, Chorus",29,R&B/Soul
Instagram Reels,2022/06,BILLIE EILISH,"Transition, Montage",BILLIE EILISH - Armani White (2022),"Selfie Video, Photo/Video Compilation",Lifestyle,Chorus,29,Hip-Hop/Rap
Instagram Reels,2022/06,Outlands,"Montage (Template), Vlog",Outlands - Spencer Welling (2022),Photo/Video Compilation,Lifestyle,Instrumental,4,Instrumental
Instagram Reels,2022/06,The Night We Met,"Montage, Vlog",The Night We Met - Lord Huron (2015),Photo/Video Compilation,Lifestyle,Prelude,29,Indie
